Title,Year,Genre,Director,Cast,Rating,Description
Happy-Go-Lucky,2008,Comedy Drama Romance,Mike Leigh, Sally Hawkins Alexis Zegerman Samuel Roukin Elliot Cowan,7,A look at a few chapters in the life of Poppy a cheery colorful North London schoolteacher whose optimism tends to exasperate those around her.
Neulovimye mstiteli,1967,Action Adventure Western,Edmond Keosayan, Vasiliy Vasilev Viktor Kosykh Valentina Kurdyukova Mikhail Metyolkin,7.4,Teenagers take revenge on cruel chieftains during the civil war. Soviet blockbuster in the best traditions of the western
Salomé,1976,Documentary,Teo Hernandez, Monica Carpiaux Michel Nedjar Carlos Palacio Mona Thomas,7.1,A personal interpretation of Oscar Wilde Salome from three basic elements: the light the color and the projection speed.
Tol'able David,1921,Drama,Henry King, Richard Barthelmess Gladys Hulette Walter P. Lewis Ernest Torrence,7.1,When three thuggish men are responsible for the death of his father and the crippling of his brother young David must choose between supporting his family or risking his life and exacting vengeance.
Anne of the Indies,1951,Action Adventure Drama,Jacques Tourneur, Jean Peters Louis Jourdan Debra Paget Herbert Marshall,6.6,In order to recover his ship impounded by the British former pirate captain LaRochelle agrees to spy on the notorious Caribbean Sea pirates Blackbeard and Anne Providence.
Good Vibrations,2012,Biography Drama Music,Lisa Barros D'Sa, Glenn Leyburn Cathal Maguire Peter Kelly Charlie Berkeley Jack Carberry,7.2,A chronicle of Terri Hooley's life a record-store owner instrumental in developing Belfast's punk-rock scene.
Affliction,1997,Drama Mystery Thriller,Paul Schrader, Nick Nolte Sissy Spacek James Coburn Brigid Tierney,6.9,A deeply troubled small-town cop investigates a suspicious hunting death while other events jeopardize his sanity.
Pale Rider,1985,Drama Western,Clint Eastwood Clint Eastwood, Clint Eastwood Michael Moriarty Carrie Snodgress Sydney Penny,7.3,A mysterious preacher (Clint Eastwood) protects a humble prospector village from a greedy mining company trying to encroach on their land.
The Intouchables,2011,Biography Comedy Drama,Olivier Nakache, Éric Toledano François Cluzet Omar Sy Anne Le Ny Audrey Fleurot,8.5,After he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver.
Guardians of the Galaxy,2014,Action Adventure Comedy,James Gunn, Chris Pratt Vin Diesel Bradley Cooper Zoe Saldana,8,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
